channelGrouping,date,visitNumber,month,year,visitHour,browser,operatingSystem,isMobile,deviceCategory,continent,subContinent,country,region,metro,city,networkDomain,hits,pageviews,bounces,newVisits,campaign,source,medium,keyword,transactionRevenue
3,2016-09-02,1,9,2016,18,5,6,0,0,4,20,11,80,21,108,785,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,22,5,1,1,1,4,17,57,80,21,108,449,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,18,5,1,1,1,4,12,31,80,21,108,18,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,15,8,9,0,0,3,16,52,78,0,47,73,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,20,5,6,0,0,3,6,114,63,0,90,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,6,5,9,0,0,2,13,22,61,0,87,792,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,3,9,2016,16,5,9,0,0,4,12,55,80,21,108,0,1,1.0,1,0,0,20,4,4,0
3,2016-09-02,2,9,2016,15,5,1,1,1,4,20,39,29,0,70,1355,1,1.0,1,0,0,20,4,4,0
3,2016-09-02,1,9,2016,19,5,9,0,0,4,7,98,42,0,104,960,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,21,5,9,0,0,4,20,39,80,21,108,479,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,5,5,9,0,0,3,14,97,80,21,108,0,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,18,5,9,0,0,4,12,55,20,0,27,0,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,18,5,6,0,0,4,20,11,80,21,108,785,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,15,5,9,0,0,4,17,44,80,21,108,547,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,21,5,9,0,0,2,3,77,45,0,55,979,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,21,5,9,0,0,4,7,98,80,21,108,780,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,13,5,6,0,0,4,20,85,51,0,1,0,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,1,9,2016,20,5,1,1,1,3,16,52,80,21,108,1355,1,1.0,1,1,0,31,5,16,0
3,2016-09-02,1,9,2016,13,5,9,0,0,4,17,80,80,21,108,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,17,18,6,0,0,5,1,5,80,21,108,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,20,5,6,0,0,3,14,109,0,0,0,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,15,5,6,0,0,4,20,85,80,21,108,1014,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,4,5,1,1,1,2,13,22,61,0,87,792,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,5,5,6,0,0,2,13,16,80,21,108,0,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,5,9,2016,19,5,1,1,2,4,12,131,80,21,108,211,1,1.0,1,0,0,20,4,4,0
3,2016-09-02,1,9,2016,18,5,3,0,0,4,12,55,20,0,27,0,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,18,5,6,0,0,4,17,115,11,0,7,1033,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,23,5,9,0,0,2,13,16,66,0,88,1247,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,2,9,2016,0,5,5,0,0,2,11,132,10,18,61,0,1,1.0,1,0,0,58,5,16,0
3,2016-09-02,1,9,2016,15,5,9,0,0,3,19,126,31,0,40,387,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,2,9,2016,22,5,9,0,0,2,3,77,45,0,55,979,1,1.0,1,0,0,20,4,4,0
3,2016-09-02,1,9,2016,23,5,9,0,0,3,16,9,0,0,0,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,22,5,6,0,0,4,7,98,80,21,108,1292,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,23,18,6,0,0,3,6,59,80,21,108,142,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,2,5,6,0,0,2,13,3,9,0,16,1228,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,18,5,9,0,0,4,7,98,42,0,104,114,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,12,8,9,0,0,3,6,23,80,21,108,1355,1,1.0,1,1,0,8,4,16,0
3,2016-09-02,1,9,2016,3,5,9,0,0,4,17,111,80,21,108,86,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,2,5,9,0,0,4,20,42,0,0,0,1493,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,16,5,9,0,0,4,20,11,80,21,108,1037,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,20,5,1,1,1,4,17,115,14,0,53,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,18,5,1,1,1,4,12,131,80,21,108,379,1,1.0,1,1,0,8,4,16,0
3,2016-09-02,1,9,2016,14,5,6,0,0,4,7,29,80,21,108,1359,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,19,5,9,0,0,3,14,97,80,21,108,963,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,1,18,6,0,0,4,20,39,80,21,108,0,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,14,9,9,0,0,4,20,42,80,21,108,1205,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,20,5,6,0,0,3,6,23,80,21,108,1506,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,0,5,9,0,0,4,12,118,80,21,108,1244,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,2,9,2016,13,5,9,0,0,4,20,85,80,21,108,0,1,1.0,1,0,0,20,4,4,0
3,2016-09-02,1,9,2016,13,5,6,0,0,3,6,59,80,21,108,1477,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,23,7,9,0,0,4,7,103,80,21,108,693,1,1.0,1,1,0,9,4,4,0
3,2016-09-02,1,9,2016,19,18,12,1,1,2,11,20,80,21,108,1264,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,11,5,12,1,1,3,19,130,19,0,26,77,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,3,5,9,0,0,2,3,77,80,21,108,626,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,18,5,9,0,0,4,20,119,80,21,108,1039,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,11,16,1,1,1,3,16,52,16,0,65,912,1,1.0,1,1,0,20,4,26,0
3,2016-09-02,1,9,2016,15,15,1,1,1,3,14,122,80,21,108,0,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,1,9,2016,21,5,9,0,0,2,11,132,80,21,108,74,1,1.0,1,1,0,57,5,16,0
3,2016-09-02,1,9,2016,8,5,6,0,0,3,14,122,3,0,6,19,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,1,5,9,0,0,2,3,77,80,21,108,980,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,8,5,6,0,0,3,14,122,80,21,108,1406,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,19,5,6,0,0,2,13,3,9,0,16,954,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,1,9,2016,22,18,12,1,1,5,1,5,49,0,97,916,1,1.0,1,1,0,57,5,16,0
4,2016-09-02,1,9,2016,4,5,1,1,1,2,11,132,80,21,108,0,1,1.0,1,1,3,20,2,19,0
3,2016-09-02,1,9,2016,18,5,1,1,1,4,12,131,80,21,108,211,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,17,5,9,0,0,4,7,103,80,21,108,1170,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,21,5,12,1,1,4,20,85,51,0,1,675,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,1,9,2016,8,18,12,1,2,2,11,132,80,21,108,1048,1,1.0,1,1,0,57,5,16,0
3,2016-09-02,1,9,2016,15,8,9,0,0,3,14,122,80,21,108,0,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,3,5,9,0,0,4,20,119,80,21,108,1189,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,21,5,9,0,0,4,7,29,80,21,108,0,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,15,5,6,0,0,4,20,39,80,21,108,986,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,1,9,2016,1,5,6,0,0,3,16,52,35,0,9,193,1,1.0,1,1,0,58,5,16,0
3,2016-09-02,1,9,2016,15,5,9,0,0,4,17,57,80,21,108,403,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,19,18,6,0,0,4,20,11,80,21,108,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,3,18,12,1,1,4,12,118,80,21,108,1221,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,18,5,1,1,1,3,14,109,0,0,92,739,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,2,9,2016,23,5,1,1,1,4,17,44,80,21,108,932,1,1.0,1,0,0,20,4,4,0
3,2016-09-02,1,9,2016,16,5,9,0,0,2,11,132,50,12,66,288,1,1.0,1,1,0,8,4,16,0
3,2016-09-02,1,9,2016,14,5,9,0,0,4,7,103,80,21,108,678,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,13,5,9,0,0,4,20,85,51,0,1,0,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,16,5,9,0,0,3,14,122,80,21,108,111,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,20,5,9,0,0,4,17,99,80,21,108,0,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,1,5,1,1,1,4,20,119,80,21,108,541,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,13,5,9,0,0,4,20,11,80,21,108,169,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,15,5,9,0,0,4,17,44,80,21,108,932,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,23,18,6,0,0,4,20,119,80,21,108,0,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,22,18,6,0,0,3,14,109,0,0,92,1110,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,2,9,2016,13,5,9,0,0,3,6,120,80,21,108,540,1,1.0,1,0,0,20,4,4,0
3,2016-09-02,1,9,2016,14,5,6,0,0,3,14,122,80,21,108,111,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,18,5,9,0,0,4,17,57,80,21,108,849,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,14,5,1,1,2,4,17,115,80,21,108,905,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,6,5,1,1,1,2,13,16,65,0,79,1275,1,1.0,1,1,0,20,4,39,0
3,2016-09-02,11,9,2016,14,5,9,0,0,4,20,39,29,0,70,789,1,1.0,1,0,0,20,4,4,0
3,2016-09-02,1,9,2016,2,18,12,1,2,4,7,29,80,21,108,1359,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,13,5,6,0,0,4,12,55,20,0,27,0,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,1,9,2016,15,5,9,0,0,3,16,52,71,0,37,63,1,1.0,1,1,0,3,5,16,0
3,2016-09-02,2,9,2016,4,18,12,1,1,4,12,118,80,21,108,1221,1,1.0,1,0,0,20,4,4,0
3,2016-09-02,1,9,2016,5,18,12,1,1,2,11,20,80,21,108,1101,1,1.0,1,1,0,20,4,4,0
0,2016-09-02,1,9,2016,15,9,9,0,0,3,16,52,16,0,65,1355,1,1.0,1,1,5,2,1,16,0
1,2016-09-02,1,9,2016,3,5,1,1,1,2,11,20,54,0,100,1355,1,1.0,1,1,0,0,0,16,0
5,2016-09-02,1,9,2016,20,5,9,0,0,2,13,3,9,0,16,954,1,1.0,1,1,0,3,5,16,0
3,2016-09-02,1,9,2016,14,18,12,1,1,4,20,6,80,21,108,1234,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,2,9,2016,4,5,6,0,0,2,11,132,10,18,61,0,1,1.0,1,0,0,43,5,16,0
3,2016-09-02,2,9,2016,7,5,1,1,1,2,11,132,18,20,105,0,1,1.0,1,0,0,8,4,16,0
0,2016-09-02,3,9,2016,1,5,9,0,0,2,11,132,10,11,52,1048,1,1.0,1,0,5,2,1,16,0
0,2016-09-02,1,9,2016,16,5,6,0,0,3,16,52,41,0,76,1355,1,1.0,1,1,5,2,1,16,0
3,2016-09-02,4,9,2016,4,5,1,1,1,2,11,132,10,18,84,0,1,1.0,1,0,0,20,4,4,0
1,2016-09-02,57,9,2016,21,5,6,0,0,2,11,132,77,19,89,1007,1,1.0,1,0,0,0,0,16,0
0,2016-09-02,1,9,2016,2,5,9,0,0,2,13,96,80,21,108,38,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,1,9,2016,13,5,9,0,0,3,6,49,80,21,108,1355,1,1.0,1,1,0,24,5,16,0
3,2016-09-02,1,9,2016,0,5,9,0,0,2,13,16,80,21,108,1248,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,1,5,9,0,0,2,3,77,80,21,108,980,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,1,9,2016,4,5,9,0,0,3,16,52,16,0,65,63,1,1.0,1,1,0,21,5,16,0
5,2016-09-02,1,9,2016,23,5,3,0,0,2,11,132,80,21,108,418,1,1.0,1,1,0,43,5,16,0
3,2016-09-02,3,9,2016,2,5,1,1,1,2,11,132,10,18,69,0,1,1.0,1,0,0,20,4,4,0
5,2016-09-02,6,9,2016,3,5,6,0,0,2,11,132,10,18,69,296,1,1.0,1,0,0,43,5,16,0
0,2016-09-02,1,9,2016,11,5,9,0,0,1,18,89,80,21,108,0,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,1,9,2016,10,5,12,1,1,3,6,59,80,21,108,939,1,1.0,1,1,0,51,5,16,0
5,2016-09-02,2,9,2016,14,5,9,0,0,3,16,52,80,21,108,1355,1,1.0,1,0,0,3,5,16,0
3,2016-09-02,1,9,2016,15,8,9,0,0,4,7,50,80,21,108,832,1,1.0,1,1,0,20,4,4,0
0,2016-09-02,1,9,2016,23,5,6,0,0,2,11,132,80,21,108,1355,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,6,9,2016,6,5,5,0,0,2,11,132,77,19,89,0,1,1.0,1,0,0,43,5,16,0
3,2016-09-02,1,9,2016,16,9,9,0,0,4,12,131,80,21,108,211,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,1,9,2016,15,8,9,0,0,4,20,42,80,21,108,124,1,1.0,1,1,0,24,5,16,0
3,2016-09-02,1,9,2016,13,8,6,0,0,2,11,132,10,18,86,296,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,1,9,2016,0,5,6,0,0,2,11,132,10,18,61,0,1,1.0,1,1,0,43,5,16,0
3,2016-09-02,1,9,2016,2,18,12,1,2,4,17,57,80,21,108,449,1,1.0,1,1,0,20,4,4,0
0,2016-09-02,1,9,2016,16,5,9,0,0,3,16,52,41,0,62,1432,1,1.0,1,1,5,2,1,16,0
3,2016-09-02,1,9,2016,20,8,9,0,0,3,14,122,80,21,108,111,1,1.0,1,1,0,20,4,4,0
0,2016-09-02,3,9,2016,14,5,6,0,0,4,12,118,80,21,108,460,1,1.0,1,0,5,2,1,16,0
5,2016-09-02,1,9,2016,15,8,9,0,0,4,7,98,80,21,108,556,1,1.0,1,1,0,28,5,16,0
5,2016-09-02,2,9,2016,4,5,6,0,0,2,13,3,9,0,16,954,1,1.0,1,0,0,3,5,16,0
0,2016-09-02,1,9,2016,23,5,6,0,0,2,11,132,10,18,84,0,1,1.0,1,1,5,2,1,16,0
0,2016-09-02,1,9,2016,17,5,9,0,0,4,12,31,80,21,108,1167,1,1.0,1,1,5,2,1,16,0
0,2016-09-02,1,9,2016,2,5,9,0,0,4,7,98,42,0,104,839,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,1,9,2016,19,8,9,0,0,4,20,6,80,21,108,1173,1,1.0,1,1,0,24,5,16,0
0,2016-09-02,1,9,2016,1,5,6,0,0,2,11,132,80,21,108,296,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,1,9,2016,19,5,9,0,0,2,13,3,9,0,16,954,1,1.0,1,1,0,3,5,16,0
0,2016-09-02,1,9,2016,16,8,9,0,0,4,20,42,80,21,108,1418,1,1.0,1,1,5,2,1,16,0
3,2016-09-02,1,9,2016,14,5,1,1,1,3,14,136,80,21,108,1415,1,1.0,1,1,0,20,4,4,0
0,2016-09-02,1,9,2016,18,5,6,0,0,4,17,115,11,0,7,1033,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,1,9,2016,21,5,6,0,0,2,11,132,80,21,108,181,1,1.0,1,1,0,3,5,16,0
0,2016-09-02,1,9,2016,19,5,9,0,0,3,16,52,41,0,62,63,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,1,9,2016,4,5,9,0,0,2,13,3,9,0,16,954,1,1.0,1,1,0,3,5,16,0
5,2016-09-02,1,9,2016,4,5,6,0,0,2,11,132,10,18,61,0,1,1.0,1,1,0,43,5,16,0
1,2016-09-02,56,9,2016,19,5,6,0,0,2,11,132,77,19,89,1007,1,1.0,1,0,0,0,0,16,0
0,2016-09-02,1,9,2016,4,5,6,0,0,2,13,3,9,0,16,954,1,1.0,1,1,5,2,1,16,0
3,2016-09-02,1,9,2016,22,5,1,1,1,4,12,131,21,10,51,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,2,9,2016,16,5,9,0,0,4,17,115,80,21,108,1033,1,1.0,1,0,0,20,4,4,0
3,2016-09-02,1,9,2016,19,5,1,1,2,4,7,50,80,21,108,207,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,1,9,2016,0,5,6,0,0,2,11,132,10,18,61,0,1,1.0,1,1,0,58,5,16,0
5,2016-09-02,1,9,2016,15,5,6,0,0,3,16,52,80,21,108,0,1,1.0,1,1,0,43,5,16,0
5,2016-09-02,2,9,2016,12,5,9,0,0,3,6,59,80,21,108,504,1,1.0,1,0,0,3,5,16,0
0,2016-09-02,1,9,2016,14,5,9,0,0,4,12,131,80,21,108,1407,1,1.0,1,1,5,2,1,16,0
3,2016-09-02,1,9,2016,21,5,6,0,0,2,13,3,80,21,108,1153,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,8,5,9,0,0,2,11,20,80,21,108,0,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,1,5,1,1,1,3,14,53,33,0,43,1355,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,1,9,2016,19,18,12,1,1,2,11,132,80,21,108,0,1,1.0,1,1,0,24,5,16,0
3,2016-09-02,1,9,2016,22,5,9,0,0,4,17,115,11,0,7,1033,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,7,9,2016,3,5,6,0,0,2,11,132,10,18,69,296,1,1.0,1,0,0,42,5,16,0
5,2016-09-02,1,9,2016,11,8,5,0,0,3,16,52,41,0,62,1355,1,1.0,1,1,0,3,5,16,0
3,2016-09-02,2,9,2016,10,18,12,1,1,2,11,132,80,21,108,296,1,1.0,1,0,0,20,4,4,0
3,2016-09-02,1,9,2016,22,5,1,1,1,4,7,50,80,21,108,365,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,1,9,2016,4,5,9,0,0,2,13,3,9,0,16,954,1,1.0,1,1,0,3,5,16,0
0,2016-09-02,1,9,2016,20,5,9,0,0,4,7,103,80,21,108,622,1,1.0,1,1,5,2,1,16,0
0,2016-09-02,1,9,2016,14,18,12,1,2,5,1,5,59,0,14,299,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,2,9,2016,2,5,6,0,0,2,11,132,80,21,108,297,1,1.0,1,0,0,43,5,16,0
0,2016-09-02,1,9,2016,19,5,9,0,0,3,16,52,35,0,9,1355,1,1.0,1,1,5,2,1,16,0
3,2016-09-02,1,9,2016,23,5,1,1,1,2,11,132,50,12,66,1283,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,7,5,1,1,1,2,11,132,80,21,108,0,1,1.0,1,1,0,20,4,89,0
3,2016-09-02,1,9,2016,18,5,9,0,0,4,17,57,80,21,108,849,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,8,15,9,0,0,3,16,116,0,0,21,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,11,5,9,0,0,3,14,122,80,21,108,1287,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,15,5,9,0,0,4,17,57,37,0,80,727,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,21,5,1,1,1,2,11,132,10,18,84,814,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,4,7,9,0,0,4,17,108,80,21,108,1237,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,16,5,9,0,0,2,11,20,80,21,108,1403,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,22,5,1,1,1,2,11,132,30,4,19,128,1,1.0,1,1,0,20,4,68,0
3,2016-09-02,1,9,2016,11,5,6,0,0,3,6,120,80,21,108,540,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,10,5,9,0,0,3,6,114,80,21,108,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,0,5,9,0,0,3,19,126,80,21,108,1306,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,19,18,6,0,0,4,20,11,80,21,108,1241,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,14,5,6,0,0,4,17,115,11,0,7,43,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,3,9,2016,16,5,6,0,0,4,17,99,14,0,53,1423,1,1.0,1,0,0,20,4,16,0
3,2016-09-02,1,9,2016,15,5,5,0,0,4,17,57,37,0,80,1455,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,20,5,9,0,0,4,20,6,80,21,108,596,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,12,7,9,0,0,4,12,90,80,21,108,903,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,4,9,2016,0,5,3,0,0,2,11,132,10,11,52,175,1,1.0,1,0,0,34,5,16,0
